ship_type,reporting_year,report_scope,temporal_split,imo_number,ship_name,technical_efficiency_type,technical_efficiency_value,total_fuel_consumption_mt,fuel_per_distance_kg_nm,total_co2_emissions_mt,co2_per_distance_kg_nm,time_spent_at_sea_hours,efficiency_label_distance,distance_efficiency_rank_pct,isolation_score,isolation_rank_pct_ship_type,lof_score,lof_rank_pct_ship_type,predicted_co2_per_distance_kg_nm,residual_signed_log,residual_abs_z,residual_rank_pct_ship_type,consensus_score,consensus_rank_pct_global,method_flags_count,isolation_top2pct,lof_top2pct,residual_top2pct,dominant_deviation_fields,screening_explanation
LNG carrier,2021,annual_er,train,9830903,AVENIR ACCOLADE,EEDI,17.9,226.45,29.64,628.26,82.24,648.8,efficient,0.003356,0.725897,0.999535,2.029597,0.974895,146.524082,-0.572263,22.710750,0.997211,0.990547,0.997975,2,true,false,true,fuel_per_distance_kg_nm:low:z=5.71; co2_per_distance_kg_nm:low:z=5.43; total_fuel_consumption_mt:low:z=3.84,Isolation Forest places this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:low:z=5.71; co2_per_distance_kg_nm:low:z=5.43; total_fuel_consumption_mt:low:z=3.84
Oil tanker,2024,full_er,external_2024,9878034,ARDMORE,NOT_APPLICABLE,,36.81,131.23,114.62634,408.65,24.5,medium,0.518025,0.736069,0.999474,1.591007,0.982048,450.058707,-0.096294,14.270502,0.989860,0.990460,0.997964,3,true,true,true,total_co2_emissions_mt:low:z=5.45; total_fuel_consumption_mt:low:z=5.42; time_spent_at_sea_hours:low:z=5.32,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=5.45; total_fuel_consumption_mt:low:z=5.42; time_spent_at_sea_hours:low:z=5.32
Oil tanker,2018,annual_er,train,9392808,ALPINE MYSTERY,NOT_APPLICABLE,,545.9,34.4,1704.1738,107.39,1335.7,efficient,0.001651,0.682890,0.995118,2.738003,0.997221,113.113491,-0.051458,7.585558,0.978968,0.990435,0.997952,2,true,true,false,co2_per_distance_kg_nm:low:z=3.94; fuel_per_distance_kg_nm:low:z=3.89; total_co2_emissions_mt:low:z=1.99,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; largest robust deviations are co2_per_distance_kg_nm:low:z=3.94; fuel_per_distance_kg_nm:low:z=3.89; total_co2_emissions_mt:low:z=1.99
Refrigerated cargo carrier,2021,annual_er,train,9167801,CERES TWO,EIV,20.23,12795,225.72,39891.83,703.75,3318.2,inefficient,0.993750,0.615183,0.982090,2.003513,0.990050,549.613156,0.246811,35.761277,0.999005,0.990381,0.997940,3,true,true,true,fuel_per_distance_kg_nm:high:z=3.41; co2_per_distance_kg_nm:high:z=3.37; total_fuel_consumption_mt:high:z=1.73,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=3.41; co2_per_distance_kg_nm:high:z=3.37; total_fuel_consumption_mt:high:z=1.73
Bulk carrier,2024,full_er,external_2024,9498561,AMILLA,EEXI,4.09,118.9,29.43,377.6459,93.48,871.81,efficient,0.001736,0.652127,0.991105,1.577726,0.981972,53.224930,0.555247,67.804694,0.997975,0.990351,0.997929,3,true,true,true,fuel_per_distance_kg_nm:low:z=4.47; co2_per_distance_kg_nm:low:z=4.47; total_fuel_consumption_mt:low:z=3.35,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:low:z=4.47; co2_per_distance_kg_nm:low:z=4.47; total_fuel_consumption_mt:low:z=3.35
Ro-pax ship,2022,annual_er,validation,9631797,MESSINA,EIV,73,126.384,350.09,405.19,1122.41,54,inefficient,0.985437,0.710920,0.998924,1.641260,0.973109,3801.218999,-1.219216,100.993395,0.998924,0.990319,0.997917,2,true,false,true,time_spent_at_sea_hours:low:z=10.68; total_co2_emissions_mt:low:z=5.72; total_fuel_consumption_mt:low:z=5.68,Isolation Forest places this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=10.68; total_co2_emissions_mt:low:z=5.72; total_fuel_consumption_mt:low:z=5.68
Bulk carrier,2018,annual_er,train,9800398,SANTA CAROLINA,EIV,5.16,258.3,14.69,828.1098,47.08,1526.64,efficient,0.000862,0.614608,0.979669,2.053302,0.994798,65.595486,-0.325771,39.603653,0.996466,0.990311,0.997905,2,false,true,true,co2_per_distance_kg_nm:low:z=7.24; fuel_per_distance_kg_nm:low:z=7.21; total_fuel_consumption_mt:low:z=2.24,LOF places this row in the ship-type top 2% local-density outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=7.24; fuel_per_distance_kg_nm:low:z=7.21; total_fuel_consumption_mt:low:z=2.24
Bulk carrier,2022,annual_er,validation,9492206,YUE MAY,EEDI,2.35,554.72,274.48,1752.1,866.95,198.2,inefficient,0.997052,0.627201,0.984235,1.719861,0.988802,1466.689658,-0.525311,63.930376,0.997816,0.990284,0.997894,3,true,true,true,co2_per_distance_kg_nm:high:z=4.64; fuel_per_distance_kg_nm:high:z=4.62; time_spent_at_sea_hours:low:z=2.72,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=4.64; fuel_per_distance_kg_nm:high:z=4.62; time_spent_at_sea_hours:low:z=2.72
Vehicle carrier,2023,annual_er,test,9491898,PATARA,EEXI,19.24,7650.02,106.18,488.59,6.78,5343.44,efficient,0.002174,0.620649,0.975235,4.300630,0.997179,45.235979,-1.782202,181.757437,0.998433,0.990282,0.997882,2,false,true,true,co2_per_distance_kg_nm:low:z=24.14; total_co2_emissions_mt:low:z=3.82; total_fuel_consumption_mt:high:z=1.34,LOF places this row in the ship-type top 2% local-density outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=24.14; total_co2_emissions_mt:low:z=3.82; total_fuel_consumption_mt:high:z=1.34
Bulk carrier,2024,full_er,external_2024,9228241,FANARIA,NOT_APPLICABLE,,146.1,36.85,457.9086,115.49,461.27,efficient,0.006695,0.699479,0.998332,1.530963,0.978478,100.472317,0.138019,16.938794,0.993924,0.990245,0.997870,2,true,false,true,co2_per_distance_kg_nm:low:z=3.61; fuel_per_distance_kg_nm:low:z=3.57; total_co2_emissions_mt:low:z=3.06,Isolation Forest places this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=3.61; fuel_per_distance_kg_nm:low:z=3.57; total_co2_emissions_mt:low:z=3.06
Container/ro-ro cargo ship,2019,annual_er,train,9302152,HARBOUR BRIDGE,EIV,28.54,12587.7,313.85,39344.74,980.99,2392,inefficient,1.000000,0.660302,0.989540,3.546335,0.995816,747.792038,0.271120,20.257245,0.985356,0.990237,0.997859,3,true,true,true,technical_efficiency_value:high:z=5.26; fuel_per_distance_kg_nm:high:z=4.03; co2_per_distance_kg_nm:high:z=4.01,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are technical_efficiency_value:high:z=5.26; fuel_per_distance_kg_nm:high:z=4.03; co2_per_distance_kg_nm:high:z=4.01
Oil tanker,2022,annual_er,validation,9506069,HAFNIA SHINANO,EIV,4.92,126.3,744.69,404.92,2387.5,204.4,inefficient,0.998504,0.707839,0.997897,1.794090,0.990235,2534.598099,-0.059764,8.823994,0.982573,0.990235,0.997847,3,true,true,true,co2_per_distance_kg_nm:high:z=5.10; fuel_per_distance_kg_nm:high:z=5.05; total_fuel_consumption_mt:low:z=3.85,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=5.10; fuel_per_distance_kg_nm:high:z=5.05; total_fuel_consumption_mt:low:z=3.85
Bulk carrier,2020,annual_er,train,9581368,DENSA PANTHER,EIV,5.95,169.45,437.18,541.6507,1397.45,44.8,inefficient,0.998455,0.686430,0.997459,1.516871,0.977286,1799.903824,-0.252924,30.722672,0.995910,0.990218,0.997835,2,true,false,true,co2_per_distance_kg_nm:high:z=6.60; fuel_per_distance_kg_nm:high:z=6.53; time_spent_at_sea_hours:low:z=4.85,Isolation Forest places this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=6.60; fuel_per_distance_kg_nm:high:z=6.53; time_spent_at_sea_hours:low:z=4.85
Bulk carrier,2020,annual_er,train,9151400,GANOSAYA,EEDI,3.11,83.73,42.96,264.2419,135.58,203.2,efficient,0.010507,0.660743,0.993647,1.851910,0.991740,142.085407,-0.046531,5.560492,0.985268,0.990218,0.997824,3,true,true,true,total_fuel_consumption_mt:low:z=3.85; total_co2_emissions_mt:low:z=3.85; fuel_per_distance_kg_nm:low:z=2.96,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_fuel_consumption_mt:low:z=3.85; total_co2_emissions_mt:low:z=3.85; fuel_per_distance_kg_nm:low:z=2.96
Chemical tanker,2019,annual_er,train,9508940,HINCH SPIRIT,,,473.6,75.91,3036.72,486.75,778,inefficient,0.987398,0.619019,0.980872,2.053534,0.990697,241.837083,0.697412,82.027610,0.999059,0.990209,0.997812,3,true,true,true,co2_per_distance_kg_nm:high:z=2.14; total_fuel_consumption_mt:low:z=2.14; time_spent_at_sea_hours:low:z=1.31,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=2.14; total_fuel_consumption_mt:low:z=2.14; time_spent_at_sea_hours:low:z=1.31
Oil tanker,2022,annual_er,validation,9383950,STAR PROSPERITY,EIV,3.19,243.58,482.34,779.7,1543.96,42.5,inefficient,0.996509,0.700228,0.996995,1.478052,0.974236,6956.144286,-1.504771,224.267820,0.999324,0.990185,0.997801,2,true,false,true,time_spent_at_sea_hours:low:z=4.67; co2_per_distance_kg_nm:high:z=3.83; fuel_per_distance_kg_nm:high:z=3.78,Isolation Forest places this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=4.67; co2_per_distance_kg_nm:high:z=3.83; fuel_per_distance_kg_nm:high:z=3.78
General cargo ship,2024,full_er,external_2024,9300623,ASL ELSA,EEXI,5,89.75,172.39,281.0087,539.76,108.1,inefficient,0.996296,0.678048,0.997423,1.574001,0.974347,843.279805,-0.445508,56.095046,0.998711,0.990160,0.997789,2,true,false,true,time_spent_at_sea_hours:low:z=3.79; total_co2_emissions_mt:low:z=3.78; total_fuel_consumption_mt:low:z=3.75,Isolation Forest places this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=3.79; total_co2_emissions_mt:low:z=3.78; total_fuel_consumption_mt:low:z=3.75
Bulk carrier,2019,annual_er,train,9146053,NECO K,EIV,9.03,39.7,31.79,124.7,99.84,320,efficient,0.002312,0.698184,0.998213,1.536405,0.979153,89.606363,0.107011,13.158395,0.992892,0.990086,0.997777,2,true,false,true,total_co2_emissions_mt:low:z=4.93; total_fuel_consumption_mt:low:z=4.91; co2_per_distance_kg_nm:low:z=4.20,Isolation Forest places this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=4.93; total_fuel_consumption_mt:low:z=4.91; co2_per_distance_kg_nm:low:z=4.20
Vehicle carrier,2018,annual_er,train,9441568,HARMONY LEADER,NOT_APPLICABLE,,10382.8,284.33,32452.3844,888.7,2518.19,inefficient,0.993197,0.684045,0.993417,3.311797,0.993730,669.124519,0.283421,28.762679,0.983072,0.990073,0.997766,3,true,true,true,fuel_per_distance_kg_nm:high:z=6.66; co2_per_distance_kg_nm:high:z=6.49; total_co2_emissions_mt:high:z=1.76,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=6.66; co2_per_distance_kg_nm:high:z=6.49; total_co2_emissions_mt:high:z=1.76
Bulk carrier,2022,annual_er,validation,9595369,RIA,EEDI,6.39,230.586,418.49,728.63,1322.38,41.5,inefficient,0.999017,0.676941,0.996506,1.497755,0.975301,2504.938772,-0.638474,77.726604,0.998372,0.990059,0.997754,2,true,false,true,co2_per_distance_kg_nm:high:z=6.37; fuel_per_distance_kg_nm:high:z=6.36; time_spent_at_sea_hours:low:z=4.96,Isolation Forest places this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=6.37; fuel_per_distance_kg_nm:high:z=6.36; time_spent_at_sea_hours:low:z=4.96
General cargo ship,2021,annual_er,train,9763849,PUGNAX,NOT_APPLICABLE,,2457.16,170.37,7707.92,534.45,1703.67,inefficient,0.997579,0.646949,0.990278,1.730831,0.983132,412.168840,0.259251,32.760284,0.996720,0.990043,0.997742,3,true,true,true,co2_per_distance_kg_nm:high:z=2.57; fuel_per_distance_kg_nm:high:z=2.54; total_fuel_consumption_mt:high:z=0.79,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=2.57; fuel_per_distance_kg_nm:high:z=2.54; total_fuel_consumption_mt:high:z=0.79
Bulk carrier,2023,annual_er,test,9691412,JIN CHAO,EEDI,4.92,80.16,477.14,253.66,1509.88,284.28,inefficient,0.998910,0.672289,0.995831,1.532002,0.978676,1885.170678,-0.221856,26.935078,0.995553,0.990020,0.997731,2,true,false,true,co2_per_distance_kg_nm:high:z=6.92; fuel_per_distance_kg_nm:high:z=6.90; total_fuel_consumption_mt:low:z=3.91,Isolation Forest places this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=6.92; fuel_per_distance_kg_nm:high:z=6.90; total_fuel_consumption_mt:low:z=3.91
Container ship,2019,annual_er,train,9164275,MAERSK AVON,EEDI,19.98,66.79,47.84,208.08,149.03,204.04,efficient,0.002203,0.702093,0.998315,1.408557,0.973273,97.365318,0.422147,49.314088,0.998392,0.989993,0.997719,2,true,false,true,total_co2_emissions_mt:low:z=4.55; total_fuel_consumption_mt:low:z=4.51; time_spent_at_sea_hours:low:z=3.98,Isolation Forest places this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=4.55; total_fuel_consumption_mt:low:z=4.51; time_spent_at_sea_hours:low:z=3.98
Vehicle carrier,2023,annual_er,test,9672404,GRAVITY HIGHWAY,EEXI,14.56,58.8,194.7,183.11,606.32,23.8,inefficient,1.000000,0.721508,0.999373,1.765758,0.981818,424.743176,0.355220,36.080126,0.988715,0.989969,0.997707,3,true,true,true,time_spent_at_sea_hours:low:z=5.21; total_co2_emissions_mt:low:z=5.12; total_fuel_consumption_mt:low:z=5.09,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=5.21; total_co2_emissions_mt:low:z=5.12; total_fuel_consumption_mt:low:z=5.09
Oil tanker,2018,annual_er,train,9288899,TOLEDO SPIRIT,NOT_APPLICABLE,,14633.4,198.05,45689.7924,618.36,6639.5,inefficient,0.858008,0.649311,0.989709,1.684719,0.986179,721.669544,-0.154265,22.913709,0.993916,0.989935,0.997696,3,true,true,true,total_fuel_consumption_mt:high:z=2.24; total_co2_emissions_mt:high:z=2.23; time_spent_at_sea_hours:high:z=1.47,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_fuel_consumption_mt:high:z=2.24; total_co2_emissions_mt:high:z=2.23; time_spent_at_sea_hours:high:z=1.47
Container ship,2024,full_er,external_2024,9951551,CMA CGM AMBITION,EEDI,6.86,121.7,151.18,342.1422,425.02,54.46,medium,0.393598,0.681061,0.996171,1.535928,0.985143,470.192572,-0.100781,11.767914,0.988130,0.989815,0.997684,3,true,true,true,time_spent_at_sea_hours:low:z=5.91; total_co2_emissions_mt:low:z=4.03; total_fuel_consumption_mt:low:z=3.90,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=5.91; total_co2_emissions_mt:low:z=4.03; total_fuel_consumption_mt:low:z=3.90
