consensus_rank,ship_type,reporting_year,report_scope,imo_number,ship_name,efficiency_label_distance,consensus_score,flags_1pct,at_least_two_1pct,all_three_1pct,flags_2pct,at_least_two_2pct,all_three_2pct,flags_5pct,at_least_two_5pct,all_three_5pct
68,Oil tanker,2024,full_er,9855331,FRONT EIRA,inefficient,0.995869,3,true,true,3,true,true,3,true,true
69,Oil tanker,2024,full_er,9236353,BLUE,inefficient,0.995819,2,true,false,3,true,true,3,true,true
70,General cargo ship,2018,annual_er,9307358,TIMCA,inefficient,0.995744,3,true,true,3,true,true,3,true,true
71,Container ship,2023,annual_er,9946867,MSC VICTORINE,inefficient,0.995737,3,true,true,3,true,true,3,true,true
72,Oil tanker,2020,annual_er,9249324,A SYMPHONY,inefficient,0.995643,3,true,true,3,true,true,3,true,true
73,Gas carrier,2020,annual_er,9625140,CORAL ANTHELIA,efficient,0.995603,2,true,false,3,true,true,3,true,true
74,Bulk carrier,2023,annual_er,9861160,FRANZ SCHULTE,efficient,0.995513,3,true,true,3,true,true,3,true,true
75,Bulk carrier,2022,annual_er,9229879,REK NOBLE,medium,0.995500,3,true,true,3,true,true,3,true,true
76,Oil tanker,2018,annual_er,9145413,ICARUS III,inefficient,0.995393,3,true,true,3,true,true,3,true,true
77,Ro-pax ship,2021,annual_er,9007128,AURORA AF HELSINGBORG,efficient,0.995339,3,true,true,3,true,true,3,true,true
78,Oil tanker,2018,annual_er,9176929,ANNELEEN KNUTSEN,inefficient,0.995268,3,true,true,3,true,true,3,true,true
79,Bulk carrier,2018,annual_er,9602784,GEMMA,inefficient,0.995182,3,true,true,3,true,true,3,true,true
80,Chemical tanker,2019,annual_er,9580974,ADFINES STAR,inefficient,0.995087,2,true,false,3,true,true,3,true,true
81,Gas carrier,2022,annual_er,9909285,GAS VITALITY,inefficient,0.995035,3,true,true,3,true,true,3,true,true
82,Bulk carrier,2024,full_er,9305659,HYUNDAI BUSAN,inefficient,0.995023,3,true,true,3,true,true,3,true,true
83,Other ship types,2019,annual_er,9648788,GOLDEN ODYSSEY,inefficient,0.994977,3,true,true,3,true,true,3,true,true
84,Chemical tanker,2020,annual_er,9247388,APATYTH,inefficient,0.994913,3,true,true,3,true,true,3,true,true
85,Bulk carrier,2023,annual_er,8202018,IRON DESTINY,inefficient,0.994851,2,true,false,3,true,true,3,true,true
